_id,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg
279,2022,Bukit Batok,3-room,206000,26900,13100,194000
280,2022,Bukit Batok,4-room,309000,392000,249000,332000
281,2022,Bukit Batok,5-room,495000,522000,360000,477000
282,2022,Choa Chu Kang,2-room ,102000,160000,22000,80000
283,2022,Choa Chu Kang,3-room,194000,243000,119000,168000
284,2022,Choa Chu Kang,4-room,277000,363000,217000,303000
285,2022,Choa Chu Kang,5-room,390000,508000,345000,463000
286,2022,Jurong East,2-room,97000,170000,17000,90000
287,2022,Jurong East,3-room,194000,245000,119000,170000
288,2022,Jurong East,4-room,283000,388000,223000,328000
289,2022,Jurong East,5-room,-,-,-,-
290,2022,Jurong West,2-room,107000,180000,27000,100000
291,2022,Jurong West,3-room,187000,265000,112000,190000
292,2022,Jurong West,4-room,288000,393000,228000,333000
293,2022,Jurong West,5-room,412000,526000,367000,481000
294,2022,Tengah,2-room,97000,174000,17000,94000
295,2022,Tengah,3-room,190000,262000,115000,187000
296,2022,Tengah,4-room,291000,397000,231000,337000
297,2022,Tengah,5-room,401000,536000,356000,491000
298,2022,Woodlands,2-room,98000,154000,18000,74000
299,2022,Woodlands,3-room,188000,228000,113000,153000
300,2022,Woodlands,4-room,303000,363000,243000,303000
301,2022,Woodlands,5-room,-,-,-,-
302,2022,Yishun,2-room,84000,184000,5000,104000
303,2022,Yishun,3-room,175000,229000,1000000,154000
304,2022,Yishun,4-room,248000,418000,188000,358000
305,2022,Yishun,5-room,366000,595000,321000,550000
306,2023,Bukit Panjang,2-room,110000,190000,30000,110000
307,2023,Bukit Panjang,3-room,-,-,-,-
308,2023,Bukit Panjang,4-room,320000,426000,260000,366000
309,2023,Bukit Panjang,5-room,-,-,-,-
310,2023,Choa Chu Kang,2-room,102000,168000,22000,88000
311,2023,Choa Chu Kang,3-room,202000,272000,127000,197000
312,2023,Choa Chu Kang,4-room,300000,437000,240000,377000
313,2023,Choa Chu Kang,5-room,463000,595000,418000,550000
314,2023,Hougang ,2-room,136000,177000,56000,97000
315,2023,Hougang,3-room,247000,294000,172000,219000
316,2023,Hougang,4-room,371000,432000,311000,372000
317,2023,Hougang,5-room,-,-,-,-
318,2023,Jurong West,2-room,110000,174000,30000,94000
319,2023,Jurong West,3-room,207000,277000,132000,202000
320,2023,Jurong West,4-room,315000,394000,255000,334000
321,2023,Jurong West,5-room,431000,540000,386000,495000
322,2023,Punggol,2-room,131000,221000,51000,141000
323,2023,Punggol,3-room,242000,296000,167000,221000
324,2023,Punggol,4-room,318000,429000,258000,369000
325,2023,Punggol,5-room,464000,582000,419000,537000
326,2023,Tengah,2-room,114000,202000,34000,122000
327,2023,Tengah,3-room,232000,309000,157000,234000
328,2023,Tengah,4-room,350000,467000,290000,407000
329,2023,Tengah,5-room,454000,607000,409000,562000
330,2023,Woodlands,2-room,119000,231000,39000,151000
331,2023,Woodlands,3-room,223000,345000,148000,270000
332,2023,Woodlands,4-room,303000,468000,243000,408000
333,2023,Woodlands,5-room,412000,612000,367000,567000
